R2_Club Atlético Puerto Varas_CD Boston College_17, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_18, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_19, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_20, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_21, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_22, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_23, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_24, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_25, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_26, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_27, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_28, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_29, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_30, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_1, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_2, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_3, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_4, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_5, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_6, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_7, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_8, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_9, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_10, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_11, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_12, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_13, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_14, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_15, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_16, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_17, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_18, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_19, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_20, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_21, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_22, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_23, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_24, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_25, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_26, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_27, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_28, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_29, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Liceo Curicó_30, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_1, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_2, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_3, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_4, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_5, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_6, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_7, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_8, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_9, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_10, Holgura:0.0
